actual_fuel_cosumption,predicted_fuel_consumption,accruacy_percentage
4.75,13.52714853,15.22
6.5,14.7624745,72.89
13.5,20.83188791,45.69
18,48.39482292,31.14
23.5,20.65821881,87.91
27.97,40.21299612,56.23
31.04,57.35715262,15.22
33.48,45.73995057,63.38
34.25,66.76519237,5.07
37.5,53.2208089,58.08
45.59,54.20268633,81.11
55.02,66.89560214,78.42
56.32,91.34132572,37.82
61.29,70.09633845,85.63
67.9,72.16216561,93.72
75.41,75.66925348,99.66
85.07,134.3537738,42.07
88.11,103.808499,82.18
90.11,93.54704307,96.19
90.14,84.41827588,93.65
94.29,106.8097217,86.72
100.58,66.76519237,66.38
112.55,97.40885409,86.55
122.18,105.9025221,86.68
130.08,131.6421101,98.8
150.38,135.1039322,89.84
165.06,139.7385921,84.66
204.11,219.3960559,92.51
205.06,194.3702485,94.79
224.5,223.5361344,99.57
245.63,201.3868085,81.99
258.89,222.9894085,86.13
289.99,229.6094508,79.18